Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
1/1/2010,24,31,26,88,0.6,0,7,360,3,N 
2/1/2010,23,31,26.9,88,2.7,0.8,6,180,4,SW
3/1/2010,24,31,26.6,89,8.5,0.5,5,360,2,S 
4/1/2010,24,31.4,27.1,85,0.5,0.6,7,180,4,N 
5/1/2010,24,30.6,25.5,93,4.2,0.3,5,360,3,N 
6/1/2010,20,30.2,25.2,97,25.2,0.5,6,360,4,W 
7/1/2010,23,29,25.6,87,40.6,0.1,4,360,2,W 
8/1/2010,23,30,26.3,81,9.7,0.1,7,360,2,N 
9/1/2010,24,31,27,80,0,0.5,8,360,4,N 
10/1/2010,20,32,27.1,83,29.5,0.6,8,270,4,N 
11/1/2010,20,32.4,26.9,87,31.7,0.6,10,360,5,NW
12/1/2010,23,31.8,27.4,78,8.2,0.5,10,360,4,N 
1/13/2010,20,31.6,26.9,80,1.8,0.6,7,270,3,N 
1/14/2010,20,30.4,26.3,84,1.8,0.3,4,270,2,W 
1/15/2010,19,31,25.9,87,33.3,0.4,28,360,5,N 
1/16/2010,23,28.2,25.3,88,16.6,0,5,360,3,N 
1/17/2010,24,32.2,26,86,8.6,0.3,8,360,4,N 
1/18/2010,24,30.2,26.5,82,0,0.2,5,360,3,N 
1/19/2010,23,31.4,26.4,82,18.2,0.7,6,180,3,N 
1/20/2010,23,29.6,25.8,90,4.4,0.2,5,225,2,W 
1/21/2010,22,31.2,26.4,83,0,0.4,6,360,3,N 
1/22/2010,23,31.2,26.4,85,0,0.4,5,180,3,N 
1/23/2010,24,31.4,26.5,82,0,0.9,5,180,3,N 
1/24/2010,23,31.4,27.6,80,14.6,0.3,6,360,3,N 
1/25/2010,23,31.4,26.7,90,0.5,0.3,7,360,2,N 
1/26/2010,23,30,25.7,87,0,0.4,4,360,2,SW
1/27/2010,23,27.4,24.7,93,15.2,0,8,360,2,N 
1/28/2010,24,31.6,27.4,92,14,0.8,8,180,4,N 
1/29/2010,24,31.6,26.8,90,0.4,0.4,7,270,3,N 
1/30/2010,25,31.6,26.2,81,12,0.3,5,180,3,S 
1/31/2010,20,29.8,26,94,31,0,8,180,1,S 
1/2/2010,24,29.2,25.9,88,7.2,0.2,4,135,2,S 
2/2/2010,24,31.6,26.7,78,0,0.1,5,360,3,N 
3/2/2010,23,33,26.5,79,0,0.2,8,180,3,S 
4/2/2010,24,32.6,27.1,91,0,0.7,8,360,4,N 
5/2/2010,24,32.6,26.4,88,0,0.5,6,180,3,N 
6/2/2010,23,31.8,27.4,81,13.5,0.9,6,180,4,N 
7/2/2010,24,30,25.8,84,1.4,0.1,5,360,3,N 
8/2/2010,22,31.8,26.8,84,0,0.5,6,270,4,N 
9/2/2010,20,30.4,26,84,0,0.3,5,180,3,N 
10/2/2010,23,30.6,26.4,85,0,0.3,5,360,2,N 
11/2/2010,23,31,26,86,1,0.6,6,180,3,S 
12/2/2010,23,31.2,26.4,86,0,0.8,5,180,2,N 
2/13/2010,23,30.8,27.2,84,11.8,0.6,4,360,2,N 
2/14/2010,24,30.8,27.1,84,0,0.3,5,180,3,N 
2/15/2010,24,32,29.5,82,0.1,0.7,4,180,3,S 
2/16/2010,24,32.2,27.2,80,18,0.7,5,180,2,N 
2/17/2010,24,30.2,26.2,90,0,0.1,4,180,2,N 
2/18/2010,23,31.2,27.3,84,0,0.6,6,180,3,N 
2/19/2010,24,31.6,27.4,82,0.2,0.8,5,180,3,N 
2/20/2010,24,32.2,27,86,1.2,0.2,5,180,2,N 
2/21/2010,23,30,25.8,90,3.1,0,5,180,3,N 
2/22/2010,24,31.2,26.6,85,0.3,0.4,5,180,3,N 
2/23/2010,24,30,26.7,85,4.6,0.1,4,360,2,S 
2/24/2010,22,33,27.5,78,0,0.7,6,180,2,N 
2/25/2010,22,34,27.7,75,0,0.6,8,180,3,NW
2/26/2010,23,32.8,27.7,77,0,0.5,44,360,7,N 
2/27/2010,24,33,29,63,0,0.7,7,360,3,S 
2/28/2010,23,32.8,27.8,76,0,0.8,5,90,3,N 
1/3/2010,24,32.2,26.4,81,0,0.3,8,180,3,S 
2/3/2010,23,32.8,27.9,78,0,0.5,6,360,3,N 
3/3/2010,24,32.2,27.2,79,0,0.9,8,360,3,N 
4/3/2010,23,32,27,82,0,0.8,7,180,3,S 
5/3/2010,23,31.8,26.9,80,1.5,0.1,8,360,3,N 
6/3/2010,21,33,27.2,80,0,0.5,8,360,4,N 
7/3/2010,24,32,28,73,21.3,0.2,5,270,2,N 
8/3/2010,24,32,25.9,88,1.8,0.5,8,180,3,N 
9/3/2010,23,31,26.9,86,10,0.6,5,180,2,N 
10/3/2010,23,29.4,25,91,33.8,0.2,8,360,4,N 
11/3/2010,23,29,25.4,92,18,0.2,6,360,3,N 
12/3/2010,24,31.2,26.9,84,0,0.6,6,180,3,W 
3/13/2010,23,31.2,25,88,27.3,0.6,9,180,4,S 
3/14/2010,23,30.6,26.6,84,28.7,0.6,8,180,3,W 
3/15/2010,23,30.4,26.6,82,0.8,0.4,6,180,4,SW
3/16/2010,23,31.2,27.1,82,52.1,0.8,6,360,3,N 
3/17/2010,23,29,25.5,91,59,0.1,5,360,3,N 
3/18/2010,23,26.4,24.4,97,32.8,0,5,180,1,N 
