Predicted,Actual
12.44,0.6
11.01,2.7
13.17,8.5
7.91,0.5
17.28,4.2
21.71,25.2
12.84,40.6
6.7,9.7
4.3,0.0
7.11,29.5
10.78,31.7
2.22,8.2
4.9,1.8
9.57,1.8
11.68,33.3
13.91,16.6
9.92,8.6
6.99,0.0
6.01,18.2
14.67,4.4
7.99,0.0
8.88,0.0
5.71,0.0
4.41,14.6
14.13,0.5
12.4,0.0
19.17,15.2
13.93,14.0
13.17,0.4
4.86,12.0
18.82,31.0
12.39,7.2
2.88,0.0
2.87,0.0
13.62,0.0
10.9,0.0
4.17,13.5
9.25,1.4
7.87,0.0
9.1,0.0
10.05,0.0
9.98,1.0
9.91,0.0
8.61,11.8
7.55,0.0
4.03,0.1
3.59,18.0
13.94,0.0
7.44,0.0
5.21,0.2
9.25,1.2
14.19,3.1
8.57,0.3
9.94,4.6
1.8,0.0
-1.57,0.0
-0.49,0.0
-12.48,0.0
-0.93,0.0
4.73,0.0
1.97,0.0
3.06,0.0
5.47,0.0
4.68,1.5
4.22,0.0
-2.58,21.3
11.31,1.8
9.77,10.0
16.05,33.8
17.15,18.0
7.43,0.0
11.95,27.3
7.95,28.7
6.06,0.8
6.4,52.1
16.24,59.0
22.82,32.8
17.97,29.0
11.19,31.6
19.23,33.2
13.37,9.0
7.6,0.0
10.3,0.0
10.04,0.0
3.7,58.9
12.7,0.0
13.06,4.0
11.51,0.0
8.74,0.0
6.32,10.5
6.32,10.5
6.32,10.5
6.32,10.5
6.32,10.5
6.32,10.5
6.32,10.5
6.32,10.5
6.32,10.5
6.32,10.5
6.32,10.5
6.32,10.5
6.32,10.5
6.32,10.5
6.32,10.5
6.32,10.5
6.32,10.5
6.32,10.5
6.32,10.5
6.32,10.5
6.32,10.5
6.32,10.5
6.32,10.5
6.32,10.5
6.32,10.5
6.32,10.5
6.32,10.5
6.32,10.5
6.32,10.5
6.32,10.5
6.32,10.5
16.33,0.0
10.47,0.0
13.71,43.8
10.12,0.0
14.8,0.0
21.66,0.0
13.91,0.0
17.37,0.0
12.02,12.0
15.87,0.0
19.72,27.8
17.9,16.0
5.0,0.0
13.81,12.0
11.67,0.0
7.7,0.0
14.94,4.0
14.66,5.8
18.21,43.4
20.8,0.0
14.43,48.8
9.6,9.2
19.45,5.1
16.41,4.0
13.58,13.0
14.46,0.7
13.95,14.5
