Actual,Predicted
0.6,11.986575
2.7,10.624697
8.5,13.060537
0.5,7.3931627
4.2,17.485361
25.2,22.228811
40.6,12.305288
9.7,6.016279
0.0,3.8767314
29.5,6.190438
31.7,9.936288
8.2,1.9533263
1.8,4.06043
1.8,8.655396
33.3,10.730155
16.6,13.362693
8.6,9.227039
0.0,6.384693
18.2,5.3265786
4.4,14.522359
0.0,7.2082744
0.0,8.249602
0.0,5.180761
14.6,4.014721
0.5,14.034094
0.0,11.864238
15.2,19.469654
14.0,14.070473
0.4,13.012601
12.0,4.240001
31.0,19.276966
7.2,12.260404
0.0,2.4168446
0.0,2.1345177
0.0,13.571694
0.0,10.473798
13.5,3.714197
1.4,8.5234165
0.0,7.063845
0.0,8.107801
0.0,9.489574
1.0,9.320063
0.0,9.470134
11.8,8.199014
0.0,7.1111045
0.1,4.1906724
18.0,3.29282
0.0,13.989518
0.0,6.966005
0.2,4.870303
1.2,8.90397
3.1,13.94118
0.3,8.053178
4.6,9.523501
0.0,1.5064384
0.0,-1.5782897
0.0,0.06921322
0.0,-9.037886
0.0,-0.7007459
0.0,4.001388
0.0,1.805331
0.0,2.8443062
0.0,4.905916
1.5,4.0834985
0.0,3.5630403
21.3,-2.1734736
1.8,10.754791
10.0,9.4233265
33.8,15.709458
18.0,17.164557
0.0,6.9489975
27.3,11.062529
28.7,7.2892175
0.8,5.3249364
52.1,5.922836
59.0,16.108662
32.8,24.405264
29.0,18.123188
31.6,10.874024
33.2,19.695288
9.0,12.9734125
0.0,6.953383
0.0,9.810254
0.0,9.474644
58.9,3.3442695
0.0,12.480938
4.0,13.017829
0.0,11.272024
0.0,8.234203
10.5,5.77271
10.5,5.77271
10.5,5.77271
10.5,5.77271
10.5,5.77271
10.5,5.77271
10.5,5.77271
10.5,5.77271
10.5,5.77271
10.5,5.77271
10.5,5.77271
10.5,5.77271
10.5,5.77271
10.5,5.77271
10.5,5.77271
10.5,5.77271
10.5,5.77271
10.5,5.77271
10.5,5.77271
10.5,5.77271
10.5,5.77271
10.5,5.77271
10.5,5.77271
10.5,5.77271
10.5,5.77271
10.5,5.77271
10.5,5.77271
10.5,5.77271
10.5,5.77271
10.5,5.77271
10.5,5.77271
0.0,16.766645
0.0,10.3306675
43.8,13.874575
0.0,9.869248
0.0,15.025596
0.0,22.819523
0.0,13.791375
0.0,17.793676
12.0,12.298672
0.0,16.224922
27.8,20.79592
16.0,18.752625
0.0,4.451846
12.0,13.951489
0.0,11.49779
0.0,7.313092
4.0,15.091862
5.8,14.344309
43.4,19.048182
0.0,22.54228
48.8,14.729719
9.2,9.3471
5.1,20.284435
4.0,16.816772
13.0,13.73547
0.7,14.509298
14.5,14.13957
0.5,13.075851
0.0,13.226533
0.0,7.634976
0.0,12.3342
3.2,15.202354
14.1,13.810212
115.4,16.17842
17.7,16.213148
15.9,16.98582
0.0,15.239845
11.5,12.787302
19.0,13.561017
2.0,17.287884
6.0,16.440432
0.2,11.817156
10.5,12.377365
20.2,19.464285
0.3,14.406576
10.1,15.527899
12.4,11.746846
1.0,14.036192
5.2,16.022703
0.0,16.492344
0.0,8.601557
83.4,13.748162
0.8,16.609022
0.0,14.697158
0.0,12.24734
0.4,12.794
8.2,14.296114
23.2,17.537535
0.0,22.82807
0.0,10.502006
0.0,13.196609
0.0,13.196609
0.0,13.196609
0.0,13.196609
0.0,13.196609
