Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
2010-01-01,24,31,26,88,0.6,0,7,360,3,N 
2010-02-01,23,31,26.9,88,2.7,0.8,6,180,4,SW
2010-03-01,24,31,26.6,89,8.5,0.5,5,360,2,S 
2010-04-01,24,31.4,27.1,85,0.5,0.6,7,180,4,N 
2010-05-01,24,30.6,25.5,93,4.2,0.3,5,360,3,N 
2010-06-01,20,30.2,25.2,97,25.2,0.5,6,360,4,W 
2010-07-01,23,29,25.6,87,40.6,0.1,4,360,2,W 
2010-08-01,23,30,26.3,81,9.7,0.1,7,360,2,N 
2010-09-01,24,31,27,80,0,0.5,8,360,4,N 
2010-10-01,20,32,27.1,83,29.5,0.6,8,270,4,N 
2010-11-01,20,32.4,26.9,87,31.7,0.6,10,360,5,NW
2010-12-01,23,31.8,27.4,78,8.2,0.5,10,360,4,N 
13-01-2010,20,31.6,26.9,80,1.8,0.6,7,270,3,N 
14-01-2010,20,30.4,26.3,84,1.8,0.3,4,270,2,W 
15-01-2010,19,31,25.9,87,33.3,0.4,28,360,5,N 
16-01-2010,23,28.2,25.3,88,16.6,0,5,360,3,N 
17-01-2010,24,32.2,26,86,8.6,0.3,8,360,4,N 
18-01-2010,24,30.2,26.5,82,0,0.2,5,360,3,N 
19-01-2010,23,31.4,26.4,82,18.2,0.7,6,180,3,N 
20-01-2010,23,29.6,25.8,90,4.4,0.2,5,225,2,W 
21-01-2010,22,31.2,26.4,83,0,0.4,6,360,3,N 
22-01-2010,23,31.2,26.4,85,0,0.4,5,180,3,N 
23-01-2010,24,31.4,26.5,82,0,0.9,5,180,3,N 
24-01-2010,23,31.4,27.6,80,14.6,0.3,6,360,3,N 
25-01-2010,23,31.4,26.7,90,0.5,0.3,7,360,2,N 
26-01-2010,23,30,25.7,87,0,0.4,4,360,2,SW
27-01-2010,23,27.4,24.7,93,15.2,0,8,360,2,N 
28-01-2010,24,31.6,27.4,92,14,0.8,8,180,4,N 
29-01-2010,24,31.6,26.8,90,0.4,0.4,7,270,3,
30-01-2010,25,31.6,26.2,81,12,0.3,5,180,3,S 
31-01-2010,20,29.8,26,94,31,0,8,180,1,S 
01-02-2010,24,29.2,25.9,88,7.2,0.2,4,135,2,S 
02-02-2010,24,31.6,26.7,78,0,0.1,5,360,3,N 
03-02-2010,23,33,26.5,79,0,0.2,8,180,3,S 
04-02-2010,24,32.6,27.1,91,0,0.7,8,360,4,N 
05-02-2010,24,32.6,26.4,88,0,0.5,6,180,3,N 
06-02-2010,23,31.8,27.4,81,13.5,0.9,6,180,4,N 
07-02-2010,24,30,25.8,84,1.4,0.1,5,360,3,N 
08-02-2010,22,31.8,26.8,84,0,0.5,6,270,4,N 
09-02-2010,20,30.4,26,84,0,0.3,5,180,3,N 
10-02-2010,23,30.6,26.4,85,0,0.3,5,360,2,N 
11-02-2010,23,31,26,86,1,0.6,6,180,3,S 
12-02-2010,23,31.2,26.4,86,0,0.8,5,180,2,N 
13-02-2010,23,30.8,27.2,84,11.8,0.6,4,360,2,N 
14-02-2010,24,30.8,27.1,84,0,0.3,5,180,3,N 
15-02-2010,24,32,29.5,82,0.1,0.7,4,180,3,S 
16-02-2010,24,32.2,27.2,80,18,0.7,5,180,2,N 
17-02-2010,24,30.2,26.2,90,0,0.1,4,180,2,N 
18-02-2010,23,31.2,27.3,84,0,0.6,6,180,3,N 
19-02-2010,24,31.6,27.4,82,0.2,0.8,5,180,3,N 
20-02-2010,24,32.2,27,86,1.2,0.2,5,180,2,N 
21-02-2010,23,30,25.8,90,3.1,0,5,180,3,N 
22-02-2010,24,31.2,26.6,85,0.3,0.4,5,180,3,N 
23-02-2010,24,30,26.7,85,4.6,0.1,4,360,2,S 
24-02-2010,22,33,27.5,78,0,0.7,6,180,2,N 
25-02-2010,22,34,27.7,75,0,0.6,8,180,3,NW
26-02-2010,23,32.8,27.7,77,0,0.5,44,360,7,N 
27-02-2010,24,33,29,63,0,0.7,7,360,3,S 
28-02-2010,23,32.8,27.8,76,0,0.8,5,90,3,N 
