Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
1/1/2016,,35,,,,,7,240,3,N 
1/2/2016,24,,,,,10,4,220,2,S 
1/3/2016,23,,,,2.8,9,,,,NW
1/4/2016,24,,,,11.4,8.8,,,,S 
1/5/2016,23,,,,1,10.5,,,,SW
1/6/2016,22,,,,,10.7,,,,S 
1/7/2016,23,,,,0,10,5,210,3,SW
1/8/2016,23,,,,,10.8,5,180,3,S 
1/9/2016,,,,,,,,,,
1/10/2016,,,,,,,,,,
1/11/2016,,,,,,,,,,
1/12/2016,24,31.4,26.6,88,0,8.6,4,230,2,N 
1/13/2016,,,,,,,,,,
1/14/2016,,,,,,,,,,
1/15/2016,,,,,,,,,,
1/16/2016,,,,,,,,,,
1/17/2016,,,,,,,,,,
1/18/2016,,,,,,,,,,
1/19/2016,,,,,,,,,,
1/20/2016,,,,,,,,,,
1/21/2016,,,,,,,,,,
1/22/2016,,,,,,,,,,
1/23/2016,,,,,,,,,,
1/24/2016,,,,,,,,,,
1/25/2016,,,,,,,,,,
1/26/2016,,,,,,,,,,
1/27/2016,,,,,,,,,,
1/28/2016,,,,,,,,,,
1/29/2016,,,,,,,,,,
1/30/2016,,,,,,,,,,
1/31/2016,,,,,,,,,,
2/1/2016,22,31,,,,,4,230,2,N 
2/2/2016,20,31.2,27.3,82,,9.5,4,210,2,N 
2/3/2016,21,31.4,27.7,79,,7.2,4,160,2,N 
2/4/2016,24,,27.2,82,,4.2,5,340,2,N 
2/5/2016,21,30.6,27.5,78,8888,5.4,4,120,2,N 
2/6/2016,21,,26.4,88,,1.2,4,360,2,N 
2/7/2016,21,30,,,,1.2,4,110,2,N 
2/8/2016,20,31.8,27.1,76,,,4,150,2,N 
2/9/2016,22,31.6,27.1,78,,10.2,5,160,2,N 
2/10/2016,22,33.2,28.2,77,,4.6,5,200,2,N 
2/11/2016,23,34,27.8,75,,,5,270,2,N 
2/12/2016,21,32.8,28.1,78,,8.4,5,290,2,N 
2/13/2016,21,29.2,26.7,85,2.2,6.8,4,360,2,N 
2/14/2016,21,30.2,27,86,7,,4,140,2,N 
2/15/2016,,,27,84,3.2,3.2,7,360,2,N 
2/16/2016,24,32,,,9,0,4,10,2,N 
2/17/2016,19,28.2,25.3,90,34.4,1.2,4,360,2,N 
2/18/2016,20,30,25.7,84,91,0.5,5,310,2,N 
2/19/2016,19,31,27.1,80,8888,0.7,4,210,3,N 
2/20/2016,20,31,26.8,78,0,10.5,4,240,2,SW
2/21/2016,,,27.2,82,,,3,180,2,N 
2/22/2016,24,,,,0,7.6,3,10,2,N 
2/23/2016,,,,,17.4,,5,240,2,N 
2/24/2016,21,29.8,27,84,0,9.2,4,360,2,N 
2/25/2016,22,,27.3,83,6.2,7.5,4,160,2,N 
2/26/2016,20,31.8,28,75,8888,5.4,4,230,2,N 
2/27/2016,21,31.6,27.7,83,0.7,8.4,5,240,3,SW
2/28/2016,,,,,,,,,,
2/29/2016,24,31.4,27.5,80,0.2,5,4,170,2,N 
3/1/2016,21,30.6,26.4,89,8888,,4,350,2,N 
3/2/2016,21,30.2,26.9,85,19.5,4.8,4,180,2,S 
3/3/2016,21,,26.5,88,8888,6.8,4,350,2,N 
3/4/2016,21,39.2,26.5,87,4.8,6.4,3,340,2,N 
3/5/2016,23,28.6,,,1.7,9.6,3,20,2,N 
3/6/2016,22,20.4,26.8,85,2.1,1.2,4,250,2,SW
3/7/2016,23,30.4,27.4,85,2.4,11,4,210,2,SW
3/8/2016,,,,,,,,,,
3/9/2016,21,30,26.8,80,8888,2.4,3,140,2,N 
3/10/2016,,31.2,27,85,,,5,10,2,N 
3/11/2016,23,30.1,26.5,87,1.2,5,4,300,2,N 
3/12/2016,21,30,,,0.5,5.2,5,250,2,N 
3/13/2016,20,31.2,26.8,87,43.2,1.4,4,170,2,N 
3/14/2016,21,28,27.6,82,8888,5.5,4,240,2,N 
3/15/2016,21,30.2,25.9,92,7.4,,4,340,2,N 
3/16/2016,,,,,,,,,,
3/17/2016,,24.3,27.9,82,0,4.4,6,10,2,N 
3/18/2016,21,,26.9,87,13.6,6.6,5,320,2,N 
3/19/2016,,,,,,,,,,
3/20/2016,20,32.2,27.8,81,4.4,2.6,12,270,3,N 
3/21/2016,,,,,,,,,,
3/22/2016,21,27.6,25.3,91,4.2,4.6,4,350,1,N 
3/23/2016,23,30.3,26.1,88,38.1,0,3,340,2,N 
3/24/2016,,31,26.9,86,8888,5.6,4,200,2,N 
3/25/2016,20,30.4,24.6,92,8888,4.2,6,270,1,N 
3/26/2016,23,29.5,,,59.4,,4,160,2,N 
3/27/2016,24,30.2,,,0,7.1,3,170,2,N 
3/28/2016,20,28.6,,,0,6.8,4,300,2,N 
3/29/2016,20,30.8,27.2,84,22.3,3.6,4,350,2,N 
3/30/2016,,,,,,,,,,
3/31/2016,24,29.2,,,11.4,3.2,3,30,2,NE
4/1/2016,20,28.2,,,52.9,4.2,3,20,1,N 
4/2/2016,23,30.2,26.4,89,13.2,0,4,160,2,N 
4/3/2016,21,31.1,27.3,86,8888,9,4,120,2,N 
4/4/2016,20,,26.4,87,2.1,6.8,3,250,1,N 
4/5/2016,,,,,,,,,,
4/6/2016,20,,,,,10.4,4,210,2,N 
4/7/2016,20,,26.6,85,,10.1,3,230,2,N 
4/8/2016,24,,26.3,85,0,7.5,4,360,2,N 
4/9/2016,25,29.4,26.3,89,8888,7.5,4,130,2,N 
4/10/2016,21,30.2,27.2,83,1,5.3,3,180,2,N 
4/11/2016,,,,,,,,,,
4/12/2016,21,28.2,25.5,91,54.1,0.8,3,40,2,N 
4/13/2016,20,30.2,25.8,88,0.6,0,4,170,2,N 
4/14/2016,20,29.8,26.1,90,2,6.4,3,170,2,N 
4/15/2016,21,29.9,26.4,90,9.9,2.2,3,360,2,N 
4/16/2016,24,28.4,26.6,91,14.5,2.4,5,330,2,N 
4/17/2016,24,27.1,25.6,93,28.7,3.5,3,310,2,N 
4/18/2016,22,25.4,24.8,96,2.1,,3,10,1,N 
4/19/2016,24,26,24.8,96,77.8,0,3,20,1,N 
4/20/2016,24,29.9,26,89,34.9,,4,250,2,N 
4/21/2016,23,30,26.3,87,3.7,7.4,3,250,2,N 
4/22/2016,25,30.2,26.8,87,,8.3,4,240,2,N 
4/23/2016,22,29.2,,,13.5,5.4,3,220,2,N 
4/24/2016,24,30,26.6,87,8888,5.5,3,200,2,N 
4/25/2016,,,,,,,,,,
4/26/2016,20,30.4,,,8888,7.8,4,160,2,S 
