Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
2010-01-01,24.0,31.0,26.0,88.0,0.6,0.0,7.0,360.0,3.0,N 
2010-02-01,23.0,31.0,26.9,88.0,2.7,0.8,6.0,180.0,4.0,SW
2010-03-01,24.0,31.0,26.6,89.0,8.5,0.5,5.0,360.0,2.0,S 
2010-04-01,24.0,31.4,27.1,85.0,0.5,0.6,7.0,180.0,4.0,N 
2010-05-01,24.0,30.6,25.5,93.0,4.2,0.3,5.0,360.0,3.0,N 
2010-06-01,20.0,30.2,25.2,97.0,25.2,0.5,6.0,360.0,4.0,W 
2010-07-01,23.0,29.0,25.6,87.0,40.6,0.1,4.0,360.0,2.0,W 
2010-08-01,23.0,30.0,26.3,81.0,9.7,0.1,7.0,360.0,2.0,N 
2010-09-01,24.0,31.0,27.0,80.0,0.0,0.5,8.0,360.0,4.0,N 
2010-10-01,20.0,32.0,27.1,83.0,29.5,0.6,8.0,270.0,4.0,N 
2010-11-01,20.0,32.4,26.9,87.0,31.7,0.6,10.0,360.0,5.0,NW
2010-12-01,23.0,31.8,27.4,78.0,8.2,0.5,10.0,360.0,4.0,N 
2010-01-13,20.0,31.6,26.9,80.0,1.8,0.6,7.0,270.0,3.0,N 
2010-01-14,20.0,30.4,26.3,84.0,1.8,0.3,4.0,270.0,2.0,W 
2010-01-15,19.0,31.0,25.9,87.0,33.3,0.4,28.0,360.0,5.0,N 
2010-01-16,23.0,28.2,25.3,88.0,16.6,0.0,5.0,360.0,3.0,N 
2010-01-17,24.0,32.2,26.0,86.0,8.6,0.3,8.0,360.0,4.0,N 
2010-01-18,24.0,30.2,26.5,82.0,0.0,0.2,5.0,360.0,3.0,N 
2010-01-19,23.0,31.4,26.4,82.0,18.2,0.7,6.0,180.0,3.0,N 
2010-01-20,23.0,29.6,25.8,90.0,4.4,0.2,5.0,225.0,2.0,W 
2010-01-21,22.0,31.2,26.4,83.0,0.0,0.4,6.0,360.0,3.0,N 
2010-01-22,23.0,31.2,26.4,85.0,0.0,0.4,5.0,180.0,3.0,N 
2010-01-23,24.0,31.4,26.5,82.0,0.0,0.9,5.0,180.0,3.0,N 
2010-01-24,23.0,31.4,27.6,80.0,14.6,0.3,6.0,360.0,3.0,N 
2010-01-25,23.0,31.4,26.7,90.0,0.5,0.3,7.0,360.0,2.0,N 
2010-01-26,23.0,30.0,25.7,87.0,0.0,0.4,4.0,360.0,2.0,SW
2010-01-27,23.0,27.4,24.7,93.0,15.2,0.0,8.0,360.0,2.0,N 
2010-01-28,24.0,31.6,27.4,92.0,14.0,0.8,8.0,180.0,4.0,N 
2010-01-29,24.0,31.6,26.8,90.0,0.4,0.4,7.0,270.0,3.0,N 
2010-01-30,25.0,31.6,26.2,81.0,12.0,0.3,5.0,180.0,3.0,S 
2010-01-31,20.0,29.8,26.0,94.0,31.0,0.0,8.0,180.0,1.0,S 
2010-01-02,24.0,29.2,25.9,88.0,7.2,0.2,4.0,135.0,2.0,S 
2010-02-02,24.0,31.6,26.7,78.0,0.0,0.1,5.0,360.0,3.0,N 
2010-03-02,23.0,33.0,26.5,79.0,0.0,0.2,8.0,180.0,3.0,S 
2010-04-02,24.0,32.6,27.1,91.0,0.0,0.7,8.0,360.0,4.0,N 
2010-05-02,24.0,32.6,26.4,88.0,0.0,0.5,6.0,180.0,3.0,N 
2010-06-02,23.0,31.8,27.4,81.0,13.5,0.9,6.0,180.0,4.0,N 
2010-07-02,24.0,30.0,25.8,84.0,1.4,0.1,5.0,360.0,3.0,N 
2010-08-02,22.0,31.8,26.8,84.0,0.0,0.5,6.0,270.0,4.0,N 
2010-09-02,20.0,30.4,26.0,84.0,0.0,0.3,5.0,180.0,3.0,N 
2010-10-02,23.0,30.6,26.4,85.0,0.0,0.3,5.0,360.0,2.0,N 
2010-11-02,23.0,31.0,26.0,86.0,1.0,0.6,6.0,180.0,3.0,S 
2010-12-02,23.0,31.2,26.4,86.0,0.0,0.8,5.0,180.0,2.0,N 
2010-02-13,23.0,30.8,27.2,84.0,11.8,0.6,4.0,360.0,2.0,N 
2010-02-14,24.0,30.8,27.1,84.0,0.0,0.3,5.0,180.0,3.0,N 
2010-02-15,24.0,32.0,29.5,82.0,0.1,0.7,4.0,180.0,3.0,S 
2010-02-16,24.0,32.2,27.2,80.0,18.0,0.7,5.0,180.0,2.0,N 
2010-02-17,24.0,30.2,26.2,90.0,0.0,0.1,4.0,180.0,2.0,N 
2010-02-18,23.0,31.2,27.3,84.0,0.0,0.6,6.0,180.0,3.0,N 
2010-02-19,24.0,31.6,27.4,82.0,0.2,0.8,5.0,180.0,3.0,N 
2010-02-20,24.0,32.2,27.0,86.0,1.2,0.2,5.0,180.0,2.0,N 
2010-02-21,23.0,30.0,25.8,90.0,3.1,0.0,5.0,180.0,3.0,N 
2010-02-22,24.0,31.2,26.6,85.0,0.3,0.4,5.0,180.0,3.0,N 
2010-02-23,24.0,30.0,26.7,85.0,4.6,0.1,4.0,360.0,2.0,S 
2010-02-24,22.0,33.0,27.5,78.0,0.0,0.7,6.0,180.0,2.0,N 
2010-02-25,22.0,34.0,27.7,75.0,0.0,0.6,8.0,180.0,3.0,NW
2010-02-26,23.0,32.8,27.7,77.0,0.0,0.5,44.0,360.0,7.0,N 
2010-02-27,24.0,33.0,29.0,63.0,0.0,0.7,7.0,360.0,3.0,S 
2010-02-28,23.0,32.8,27.8,76.0,0.0,0.8,5.0,90.0,3.0,N 
2010-01-03,24.0,32.2,26.4,81.0,0.0,0.3,8.0,180.0,3.0,S 
2010-02-03,23.0,32.8,27.9,78.0,0.0,0.5,6.0,360.0,3.0,N 
2010-03-03,24.0,32.2,27.2,79.0,0.0,0.9,8.0,360.0,3.0,N 
2010-04-03,23.0,32.0,27.0,82.0,0.0,0.8,7.0,180.0,3.0,S 
2010-05-03,23.0,31.8,26.9,80.0,1.5,0.1,8.0,360.0,3.0,N 
2010-06-03,21.0,33.0,27.2,80.0,0.0,0.5,8.0,360.0,4.0,N 
2010-07-03,24.0,32.0,28.0,73.0,21.3,0.2,5.0,270.0,2.0,N 
2010-08-03,24.0,32.0,25.9,88.0,1.8,0.5,8.0,180.0,3.0,N 
2010-09-03,23.0,31.0,26.9,86.0,10.0,0.6,5.0,180.0,2.0,N 
2010-10-03,23.0,29.4,25.0,91.0,33.8,0.2,8.0,360.0,4.0,N 
2010-11-03,23.0,29.0,25.4,92.0,18.0,0.2,6.0,360.0,3.0,N 
2010-12-03,24.0,31.2,26.9,84.0,0.0,0.6,6.0,180.0,3.0,W 
2010-03-13,23.0,31.2,25.0,88.0,27.3,0.6,9.0,180.0,4.0,S 
2010-03-14,23.0,30.6,26.6,84.0,28.7,0.6,8.0,180.0,3.0,W 
2010-03-15,23.0,30.4,26.6,82.0,0.8,0.4,6.0,180.0,4.0,SW
2010-03-16,23.0,31.2,27.1,82.0,52.1,0.8,6.0,360.0,3.0,N 
2010-03-17,23.0,29.0,25.5,91.0,59.0,0.1,5.0,360.0,3.0,N 
2010-03-18,23.0,26.4,24.4,97.0,32.8,0.0,5.0,180.0,1.0,N 
2010-03-19,23.0,27.8,25.1,92.0,29.0,0.0,6.0,360.0,2.0,N 
2010-03-20,24.0,30.0,26.2,87.0,31.6,0.4,5.0,180.0,2.0,W 
2010-03-21,23.0,29.2,25.2,94.0,33.2,0.1,8.0,360.0,2.0,N 
2010-03-22,23.0,29.6,25.8,88.0,9.0,0.4,4.0,360.0,2.0,S 
2010-03-23,23.0,30.6,26.0,83.0,0.0,0.8,5.0,180.0,2.0,S 
2010-03-24,23.0,30.8,26.2,86.0,0.0,0.3,4.0,180.0,2.0,SW
2010-03-25,23.0,31.0,26.5,86.0,0.0,0.2,8.0,180.0,2.0,SW
2010-03-26,23.0,33.2,28.0,80.0,58.9,0.2,5.0,360.0,3.0,N 
2010-03-27,24.0,31.4,26.0,89.0,0.0,0.3,5.0,180.0,2.0,N 
2010-03-28,24.0,31.6,26.8,90.0,4.0,0.3,8.0,180.0,2.0,S 
2010-03-29,24.0,30.8,26.8,88.0,0.0,0.3,8.0,180.0,2.0,W 
2010-03-30,24.0,31.0,26.6,84.0,0.0,0.2,5.0,360.0,2.0,N 
2010-03-31,23.0,32.6,26.7,84.0,10.5,0.5,10.0,0.0,4.0,N 
2010-01-04,23.0,30.0,25.7,88.0,1.6,0.4,5.0,180.0,3.0,N 
2010-02-04,23.0,30.0,25.7,88.0,1.6,0.4,5.0,180.0,3.0,N 
2010-03-04,23.0,30.0,25.7,88.0,1.6,0.4,5.0,180.0,3.0,N 
2010-04-04,23.0,30.0,25.7,88.0,1.6,0.4,5.0,180.0,3.0,N 
2010-05-04,23.0,30.0,25.7,88.0,1.6,0.4,5.0,180.0,3.0,N 
2010-06-04,23.0,30.0,25.7,88.0,1.6,0.4,5.0,180.0,3.0,N 
2010-07-04,23.0,30.0,25.7,88.0,1.6,0.4,5.0,180.0,3.0,N 
2010-08-04,23.0,30.0,25.7,88.0,1.6,0.4,5.0,180.0,3.0,N 
2010-09-04,23.0,30.0,25.7,88.0,1.6,0.4,5.0,180.0,3.0,N 
2010-10-04,23.0,30.0,25.7,88.0,1.6,0.4,5.0,180.0,3.0,N 
2010-11-04,23.0,30.0,25.7,88.0,1.6,0.4,5.0,180.0,3.0,N 
2010-12-04,23.0,30.0,25.7,88.0,1.6,0.4,5.0,180.0,3.0,N 
2010-04-13,23.0,30.0,25.7,88.0,1.6,0.4,5.0,180.0,3.0,N 
2010-04-14,23.0,30.0,25.7,88.0,1.6,0.4,5.0,180.0,3.0,N 
2010-04-15,23.0,30.0,25.7,88.0,1.6,0.4,5.0,180.0,3.0,N 
2010-04-16,23.0,30.0,25.7,88.0,1.6,0.4,5.0,180.0,3.0,N 
2010-04-17,23.0,30.0,25.7,88.0,1.6,0.4,5.0,180.0,3.0,N 
2010-04-18,23.0,30.0,25.7,88.0,1.6,0.4,5.0,180.0,3.0,N 
2010-04-19,23.0,30.0,25.7,88.0,1.6,0.4,5.0,180.0,3.0,N 
2010-04-20,23.0,30.0,25.7,88.0,1.6,0.4,5.0,180.0,3.0,N 
2010-04-21,23.0,30.0,25.7,88.0,1.6,0.4,5.0,180.0,3.0,N 
2010-04-22,23.0,30.0,25.7,88.0,1.6,0.4,5.0,180.0,3.0,N 
2010-04-23,23.0,30.0,25.7,88.0,1.6,0.4,5.0,180.0,3.0,N 
2010-04-24,23.0,30.0,25.7,88.0,1.6,0.4,5.0,180.0,3.0,N 
2010-04-25,23.0,30.0,25.7,88.0,1.6,0.4,5.0,180.0,3.0,N 
2010-04-26,23.0,30.0,25.7,88.0,1.6,0.4,5.0,180.0,3.0,N 
2010-04-27,23.0,30.0,25.7,88.0,1.6,0.4,5.0,180.0,3.0,N 
2010-04-28,23.0,30.0,25.7,88.0,1.6,0.4,5.0,180.0,3.0,N 
2010-04-29,23.0,30.0,25.7,88.0,1.6,0.4,5.0,180.0,3.0,N 
2010-04-30,23.0,30.0,25.7,88.0,1.6,0.4,5.0,180.0,3.0,N 
2010-01-05,24.0,29.8,25.6,92.0,0.0,0.4,4.0,180.0,1.0,S 
2010-02-05,24.0,30.4,27.2,87.0,0.0,0.6,6.0,180.0,2.0,N 
2010-03-05,24.0,30.0,26.7,90.0,43.8,0.2,4.0,180.0,2.0,W 
2010-04-05,24.0,31.0,27.2,87.0,0.0,0.4,5.0,180.0,3.0,SW
2010-05-05,24.0,31.2,27.0,92.0,0.0,0.5,6.0,225.0,3.0,N 
